국가별,항목,단위,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
키르기스스탄,수력,,11118,12255,10934,9943,12142,13683,12430,10787,13516,14094,14259,14887,12736,10124,10217,11108,14139,14179,13097,13298,11100,11494,14203,14318,13844,13979,12957,11903
레바논,전체,,5573,6965,8515,10163,9997,9675,10080,11632,12582,12348,12339,11537,12035,13311,13771,15712,16366,14827,17490,19777,20720,21457,23411,23150,23818.818,18305.508,13631,2820
레바논,가연성 연료,,4841,6167,7614,9378,9665,9226,9748,10954,11220,11228,11293,10842,11450,12938,13149,14873,15560,13819,16218,19578,20226,21047,22955,22754,22736.09,17161,12655,2120
레바논,수력,,732,798,901,785,332,449,332,678,1362,1120,1046,695,585,373,622,839,805,1007,1269,193,479,382,415,348,965.016,1024.508,670,700
레바논,태양열,,,,,,,,,,,,,,,,,,1,1,3,6,15,28,41,48,117.712,120,306,
말레이시아,전체,,46656,53000,58675,60671,65189,69210,71384,74196,78427,94835.77,100897.66,106701.5,104950,106926.9,107115.8,116808.281,124893.681,134420.743,138331,147461,150123,156665,164509,170578,178439.998,174224.331,180070.286,
말레이시아,가연성 연료,,40490,47861,53275,55819,57666,61796,64949,68895,72677,88909.47,94296.76,99922.4,97939.2,99736.7,100490.7,110556.3,117269,125319,127604,133846,135926,136336,137598.88,143621,150783.208,144793.814,146849.286,
말레이시아,수력,,6166,5139,5400,4852,7523,7414,6435,5301,5750,5926.3,6600.9,6779.1,7010.8,7190.2,6625.1,6251.3,7624,9054,10586,13388,13924,20019,26580,26325,26166.55,27294.662,31101,
말레이시아,태양열,,,,,,,,,,,,,,,,,0.681,0.681,47.743,141,227,273,310,330.12,632,1490.24,2135.855,2120,
몽골,전체,,2629,2614,2720,2765,2930,2930,3017,3112,3138,3303,3419,3582,3737,4040,4054,4359,4600,4879,5143,5578,5513.2,5667.1,6027.3,6535.3,6900.4,6969.7,7825.317,
몽골,가연성 연료,,2629,2614,2720,2765,2930,2930,3017,3112,3138,3303,3419,3567,3722,4025,4039,4313,4536,4816,5020,5376,5290.2,5413.1,5759.3,6055.3,6416.4,6485.7,7060.739,
몽골,수력,,,,,,,,,,,,,15,15,15,15,37,55,54,61,68,61,87,86,81,85,85,137.939,
몽골,풍력,,,,,,,,,,,,,,,,,1,1,1,54,126,154,159,155,340,340,340,567.639,
몽골,태양열,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,27,59,59,59,59,
미얀마,전체,,4056,3945,4445,4139,4639,5118,4689,5068,5426,5608,6064.16,6164.15,6398.02,6621.76,6964.27,8625.11,10425.03,10964.66,14735,15626,17212,20248,20055.23,22882.85,23778.14,23642.85,22074.78,21538.85
미얀마,가연성 연료,,2432,2294,2760,3190,3601,3226,2867,2836,3176,3200,3063.36,2839.52,2779.51,2550.68,1707.91,2436.16,2907.04,3198.66,3425,5328,6573,8123,8864.46,11640.98,14328,15193.54,12349.58,12274.51
미얀마,수력,,1624,1651,1685,949,1038,1892,1822,2232,2250,2408,3000.8,3324.63,3618.51,4071.08,5256.36,6188.95,7517.99,7766,11310,10298,10639,12125,11190.77,11227.77,9369.08,8370.26,9590.08,9069.93
미얀마,태양열,,,,,,,,,,,,,,,,,,,,,,,,,14.1,81.06,79.05,135.12,194.41
마요트,전체,,36,40,45,51,64,85,100,115.1,127,141,159,171,196.2,217.83,238.7,257.5,,,,,,,,,,,,
마요트,가연성 연료,,36,40,45,51,64,85,100,115.1,127,141,159,171,196.2,217.6,237.4,251.4,,,,,,,,,,,,
마요트,태양열,,,,,,,,,,,,,,,0.23,1.3,6.1,,,,,,,,,,,,
네팔,전체,,1000,1209,1254,1250,1478,1659,1867,2123,2267,2418,2533,2748,2792,2812,3115,3208,3492,3543,3130,3507.65,3459,4177,4566.153,4828.994,6133.56,6188.634,9667.553,
네팔,가연성 연료,,97,55,87,119,67,27,18,4,4,14,16,13,9,9,13,3,2,10,10,9.65,,,0.13,0.12,0.06,0.05,0.033,
네팔,수력,,903,1154,1167,1131,1411,1632,1849,2119,2263,2404,2517,2735,2783,2803,3102,3205,3490,3533,3120,3498,3434,4152,4488.257,4753.527,6060.56,6092.41,9533.739,
네팔,풍력,,,,,,,,,,,,,,,,,,,,,,6,6,0.114,0.278,0.389,0.528,0.528,
네팔,태양열,,,,,,,,,,,,,,,,,,,,,,19,19,77.652,75.069,72.551,95.646,133.253,
오만,전체,,6500,6802,7318,8200,8413,9111,9737,10331,10714,11499,12648,13287,14167,16049,18445,19819,21874,25017,26241,29129,32762,34232,36129.619,37718.039,38336.919,38172.548,41122.3,41833
오만,가연성 연료,,6500,6802,7318,8200,8413,9111,9737,10331,10714,11499,12648,13287,14167,16049,18445,19819,21874,25017,26239.674,29127.674,32757.825,34227.804,36114.059,37702.327,38320.364,38045,40992.3,41698
오만,태양열,,,,,,,,,,,,,,,,,,,,1.326,1.326,4.175,4.196,15.56,15.712,16.555,127.548,130,135
파키스탄,전체,,53555,56946,59125,62104,65402,65760,68141,75682.11111,80825.94445,85627.94444,93629.05556,98212.94444,95671.94445,91631.16667,95381.11111,94419.22222,95142.77778,96136.83333,100047.9444,108150,109896,123533,134982,136461,134818,144049,144435,
