국가별,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
프랑스,1771.1,1796.2,1838.1,1904.1,1969.2,2046.5,2087.1,2110.8,2128.2,2188.4,2224.8,2279.3,2334.6,2340.5,2273.3,2317.6,2368.4,2375.8,2389.5,2412.3,2439.2,2465.9,2522.4,2569.5,2616.8,2419.5,2575.2,2638.4,2657
독일,2583.3,2604.1,2650.8,2704.2,2755.2,2835.5,2883.2,2877.5,2857.3,2890.9,2912,3023.2,3113.2,3143,2964.1,3088,3209.2,3222.6,3236.7,3308.2,3357.6,3432.5,3524.5,3559,3597.3,3459.7,3569.1,3633.6,3622.5
그리스,168.4,173.3,181,188.1,193.9,201.4,209.8,218,230.6,242.3,243.8,257.5,266,265.1,253.7,239.8,215.4,200.2,195.1,196.1,195.7,194.7,196.9,200.1,203.9,184.9,200.4,211.5,215.8
헝가리,79.3,79.3,81.8,85,87.6,91.6,95.3,99.8,103.9,109.1,113.8,118.3,118.6,119.8,111.9,113.1,115.2,113.7,115.8,120.7,125.2,127.9,133.4,140.5,147.4,140.8,150.7,157.6,156.2
아이슬란드,9.1,9.6,10.1,10.9,11.3,11.9,12.3,12.4,12.7,13.7,14.5,15.4,16.7,17.1,15.8,15.3,15.6,15.8,16.5,16.8,17.5,18.6,19.4,20.4,20.7,19.3,20.3,22.1,23
아일랜드,101.7,109.3,121.3,131.9,145.8,159.5,168,177.9,183.3,195.7,206.9,217.3,228.8,218.5,207.4,210.9,213.6,213.3,215.8,234.9,292.4,297.5,325.2,352.8,371.5,396,456,499,483
맨섬,2.2,2.4,2.6,2.9,3.3,3.5,3.7,3.9,4.2,4.4,4.6,5,5.4,5.6,5.7,5.9,6.1,6.5,6.8,7.1,7.1,7.6,7.8,8,8,7.3,7.6,-,-
이탈리아,1663.6,1684.6,1715.5,1746.5,1774.9,1842.1,1878.1,1882.8,1885.5,1912.3,1927.9,1962.5,1991.6,1972.5,1868.3,1900.3,1913.8,1856.7,1822.5,1822.5,1836.6,1860.4,1891.4,1908.9,1918.2,1746,1891.1,1966.5,1984.6
코소보,-,-,-,-,-,-,-,-,-,-,-,-,-,4.6,4.8,5,5.4,5.5,5.8,5.9,6.3,6.6,7,7.2,7.5,7.1,7.9,8.3,8.5
라트비아,12.4,12.7,13.8,14.7,15.1,15.9,16.9,18.1,19.7,21.3,23.6,26.4,29,28.1,24.1,23,23.6,25.2,25.8,26.2,27.3,27.9,28.8,30,30.2,29.1,31.1,32,31.9
리히텐슈타인,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.3,-,-,-,-,-,-,-,-
리투아니아,17.9,18.8,20.4,21.9,21.7,22.5,23.9,25.6,28.3,30.1,32.4,34.9,38.7,39.7,33.8,34.4,36.5,37.9,39.2,40.6,41.4,42.5,44.3,46.1,48.2,48.2,51.2,52.5,52.3
룩셈부르크,30.6,31,32.7,34.9,37.8,40.4,41.6,43,44.1,45.9,47.1,49.9,54,53.8,52.1,54,54.6,55.5,57.2,58.7,60.1,63.1,63.9,64.7,66.6,66,70.7,71.7,70.9
북마케도니아,5.7,5.8,5.9,6.1,6.4,6.7,6.4,6.5,6.7,7,7.3,7.7,8.2,8.7,8.6,8.9,9.1,9.1,9.4,9.7,10.1,10.4,10.5,10.8,11.2,10.7,11.1,11.4,11.5
