,국가별,항목,단위,연도,value
428,대한민국,석탄[exajoules],exajoules,1996,1.34396
429,대한민국,석유[100만 톤],100만 톤,1996,101.435
430,대한민국,천연가스[exajoules],exajoules,1996,0.45866
431,대한민국,수력[exajoules],exajoules,1996,0.02581
432,대한민국,원자력[exajoules],exajoules,1996,0.75514
433,아제르바이잔,전체[exajoules],exajoules,1996,0.47427
434,아제르바이잔,석탄[exajoules],exajoules,1996,0.00013
435,아제르바이잔,석유[100만 톤],100만 톤,1996,5.93675
436,아제르바이잔,천연가스[exajoules],exajoules,1996,0.2066
437,아제르바이잔,수력[exajoules],exajoules,1996,0.01636
438,방글라데시,전체[exajoules],exajoules,1996,0.40393
439,방글라데시,석탄[exajoules],exajoules,1996,0.00737
440,방글라데시,석유[100만 톤],100만 톤,1996,2.99
441,방글라데시,천연가스[exajoules],exajoules,1996,0.26051
442,방글라데시,수력[exajoules],exajoules,1996,0.00787
443,중국,전체[exajoules],exajoules,1996,39.26682
444,중국,석탄[exajoules],exajoules,1996,29.1434
445,중국,석유[100만 톤],100만 톤,1996,170.30762
446,중국,천연가스[exajoules],exajoules,1996,0.6745
447,중국,수력[exajoules],exajoules,1996,2.00097
448,중국,원자력[exajoules],exajoules,1996,0.14646
449,키프로스,전체[exajoules],exajoules,1996,0.09218
450,키프로스,석탄[exajoules],exajoules,1996,0.00419
451,키프로스,석유[100만 톤],100만 톤,1996,2.101
452,홍콩,전체[exajoules],exajoules,1996,0.65013
453,홍콩,석탄[exajoules],exajoules,1996,0.1743
454,홍콩,석유[100만 톤],100만 톤,1996,9.375
455,홍콩,천연가스[exajoules],exajoules,1996,0.06937
456,인도,전체[exajoules],exajoules,1996,11.09387
457,인도,석탄[exajoules],exajoules,1996,6.04254
458,인도,석유[100만 톤],100만 톤,1996,81.062
459,인도,천연가스[exajoules],exajoules,1996,0.71034
460,인도,수력[exajoules],exajoules,1996,0.73513
461,인도,원자력[exajoules],exajoules,1996,0.08582
462,인도네시아,전체[exajoules],exajoules,1996,3.35933
463,인도네시아,석탄[exajoules],exajoules,1996,0.27068
464,인도네시아,석유[100만 톤],100만 톤,1996,43.802
465,인도네시아,천연가스[exajoules],exajoules,1996,1.0703
466,인도네시아,수력[exajoules],exajoules,1996,0.09394
