,국가별,항목,연도,value
706,튀니지,전체,1995,7589.0
707,튀니지,가연성 연료,1995,7550.0
708,튀니지,수력,1995,39.0
709,튀니지,풍력,1995,
710,튀니지,태양열,1995,
711,튀니지,기타,1995,
712,잠비아,전체,1995,7924.0
713,잠비아,가연성 연료,1995,53.0
714,잠비아,수력,1995,7871.0
715,잠비아,태양열,1995,
716,짐바브웨,전체,1995,7811.0
717,짐바브웨,가연성 연료,1995,5526.0
718,짐바브웨,수력,1995,2285.0
719,짐바브웨,태양열,1995,
720,오스트레일리아,전체,1995,173159.0
721,오스트레일리아,가연성 연료,1995,156897.0
722,오스트레일리아,수력,1995,16239.0
723,오스트레일리아,풍력,1995,7.0
724,오스트레일리아,태양열,1995,16.0
725,오스트레일리아,기타,1995,
726,뉴질랜드,전체,1995,36411.0
727,뉴질랜드,가연성 연료,1995,6650.0
728,뉴질랜드,수력,1995,27532.0
729,뉴질랜드,풍력,1995,1.0
730,뉴질랜드,태양열,1995,
731,뉴질랜드,기타,1995,2228.0
732,대한민국,전체,1996,205382.0
733,대한민국,가연성 연료,1996,126254.0
734,대한민국,수력,1996,5201.0
735,대한민국,원자력,1996,73924.0
736,대한민국,풍력,1996,0.0
737,대한민국,태양열,1996,3.0
738,대한민국,기타,1996,
739,아르메니아,전체,1996,6215.0
740,아르메니아,가연성 연료,1996,2318.0
741,아르메니아,수력,1996,1573.0
742,아르메니아,원자력,1996,2324.0
743,아르메니아,풍력,1996,
744,아르메니아,태양열,1996,
745,아제르바이잔,전체,1996,17088.0
746,아제르바이잔,가연성 연료,1996,15550.0
747,아제르바이잔,수력,1996,1538.0
748,아제르바이잔,풍력,1996,
749,아제르바이잔,태양열,1996,
750,바레인,전체,1996,12235.0
751,바레인,가연성 연료,1996,12235.0
752,바레인,풍력,1996,
753,바레인,태양열,1996,
754,방글라데시,전체,1996,12404.0
755,방글라데시,가연성 연료,1996,11665.0
756,방글라데시,수력,1996,739.0
757,방글라데시,풍력,1996,
758,방글라데시,태양열,1996,
759,브루나이,전체,1996,2123.0
760,브루나이,가연성 연료,1996,2123.0
761,브루나이,태양열,1996,
762,캄보디아,전체,1996,329.0
763,캄보디아,가연성 연료,1996,251.0
764,캄보디아,수력,1996,78.0
765,캄보디아,태양열,1996,
766,중국,전체,1996,1081310.0
767,중국,가연성 연료,1996,879044.0
768,중국,수력,1996,187966.0
769,중국,원자력,1996,14300.0
770,중국,풍력,1996,
771,중국,태양열,1996,
772,중국,기타,1996,
