,year,month,wti,coal,lng,date,m2,unemploy,interest,wti_modified,dollar_idx
244,2015,05,3.3037868142427245,1.7701143019273233,2.6745562130177514,2015-05-01,3.4256671629824758,5.6,0.13,1.0412241367441755,1.0796360464822785
245,2015,06,3.3282676309201715,1.7009355200055982,2.600591715976331,2015-06-01,3.4392108578627876,5.3,0.12,1.044567306271788,1.0793865217218714
246,2015,07,2.8481839440357684,1.7380924478076683,2.7573964497041423,2015-07-01,3.4535276600618485,5.2,0.13,0.9069530447525774,1.0997138836447997
247,2015,08,2.3872426660501573,1.708711975356178,3.005917159763314,2015-08-01,3.467758561447715,5.1,0.08,0.7524938818425244,1.09308833086247
248,2015,09,2.531721748805218,1.6648361746070592,2.9615384615384617,2015-09-01,3.484795556064597,5.0,0.14,0.7890255866905349,1.0860564986725094
249,2015,10,2.573924697195743,1.545301396716488,3.0680473372781063,2015-10-01,3.496506700263429,5.0,0.13,0.7991241786854375,1.0855574167186492
250,2015,11,2.369017215200237,1.5034517850266764,2.7810650887573964,2015-11-01,3.5222196770129424,5.1,0.07,0.755455062349505,1.1231993877602782
251,2015,12,2.0803446861796773,1.505817151658504,3.002958579881657,2015-12-01,3.5395430076738057,5.0,0.13,0.6554946173678146,1.1152725819358167
252,2016,01,1.768160127732281,1.4401328455910647,2.502958579881657,2016-01-01,3.576566258160577,4.8,0.2,0.5552241133520291,1.123085968508313
253,2016,02,1.6899072471935108,1.4496396941525902,2.363905325443787,2016-02-01,3.5956935058985224,4.9,0.38,0.5175546636442148,1.1012249021971903
254,2016,03,2.108474121601045,1.4942103526046495,2.369822485207101,2016-03-01,3.6136181422517466,5.0,0.36,0.6370107218339663,1.091743777002191
255,2016,04,2.282605266548424,1.4732796083392883,1.9763313609467454,2016-04-01,3.637527201924178,5.1,0.37,0.6718789031282045,1.0706966387681278
256,2016,05,2.6058108073937336,1.4697343088178625,2.0147928994082838,2016-05-01,3.658200664299622,4.8,0.3,0.7636330942072829,1.0720360375296276
257,2016,06,2.7142893266240167,1.5155949172121643,2.094674556213018,2016-06-01,3.6768697743671974,4.9,0.37,0.7926429673463922,1.073741454130687
258,2016,07,2.4975755189425,1.7363441333406655,2.026627218934911,2016-07-01,3.69436490665445,4.8,0.41,0.7404730145730686,1.0952932148060317
259,2016,08,2.489539689153577,1.9225592466832315,2.195266272189349,2016-08-01,3.719190241667621,4.9,0.4,0.7241105918671391,1.0817682718189814
260,2016,09,2.5144764457480964,2.058594707179609,2.304733727810651,2016-09-01,3.7360840682625125,5.0,0.4,0.7287072823139974,1.0827350053264104
261,2016,10,2.7709043007295704,2.5940645800098974,2.3461538461538463,2016-10-01,3.7546672775168934,4.9,0.29,0.8180783075608707,1.1085232539559222
262,2016,11,2.5295471211469893,3.0034524101235576,2.1183431952662723,2016-11-01,3.774596266177986,4.7,0.41,0.7578239140061522,1.1308266575919579
263,2016,12,2.895693731509344,2.5103629187524015,2.0976331360946747,2016-12-01,3.784016722024968,4.7,0.41,0.8853875984060487,1.1570013228214238
264,2017,01,2.9240144638025636,2.4642719621541294,2.7142280796126954,2017-01-01,3.804375214752033,4.7,0.55,0.8814927458159643,1.1468921223477253
265,2017,02,2.9734240271069856,2.317231420870232,2.1088757396449704,2017-02-01,3.822929790402016,4.6,0.66,0.8882359129483478,1.1420044707915427
266,2017,03,2.7460665954983674,2.327057976595062,1.7144327244661688,2017-03-01,3.8426583438323214,4.4,0.66,0.8166587523273234,1.142776571347047
267,2017,04,2.8468101246617934,2.4288602233346115,1.6892011834319527,2017-04-01,3.8600962089107775,4.4,0.82,0.8368234122921632,1.1346801296417743
268,2017,05,2.7013690919225435,2.1595247263325765,1.692030325443787,2017-05-01,3.876904134692475,4.4,0.91,0.7765880704966128,1.1145302248640288
269,2017,06,2.5136672819682873,2.3092554345923557,1.6342119419042485,2017-06-01,3.883890734165617,4.3,0.91,0.7116384683359515,1.0995592269003738
270,2017,07,2.591351821280768,2.4467379943891268,1.6662440123978581,2017-07-01,3.9024453098155996,4.3,1.06,0.7144209429674762,1.0758819528949606
271,2017,08,2.6729010390498456,2.7701456225714827,1.8138667352714173,2017-08-01,3.9193677700148895,4.4,1.16,0.7206895891255025,1.0567722136124666
272,2017,09,2.7667982761921617,2.8241239892183287,2.0959425190194407,2017-09-01,3.9324819608292287,4.3,1.16,0.7367197159698003,1.0471081387348886
273,2017,10,2.869016613143852,2.783010116568059,2.6013986013986004,2017-10-01,3.9481445424350015,4.2,1.06,0.7724086170712319,1.062935938414744
274,2017,11,3.1563456140794472,2.762453180242938,2.8317836010143695,2017-11-01,3.95564654678731,4.2,1.16,0.8506651710022995,1.0660843765453327
275,2017,12,3.222116661669598,2.8563018057272505,3.168357283741894,2017-12-01,3.9687034703928528,4.1,1.16,0.8599250595416866,1.0591756681809512
276,2018,01,3.5372220835747457,3.0170520180628033,3.4525340879855917,2018-01-01,3.971251861184286,4.0,1.33,0.9167129827268136,1.0291969383914226
277,2018,02,3.461688623662982,3.0047795533307546,3.0979289940828405,2018-02-01,3.98216126445997,4.1,1.42,0.8846801684900766,1.0176938140292089
278,2018,03,3.4952588059776932,2.849812971010512,2.5032275416890797,2018-03-01,3.99908372465926,4.0,1.42,0.8909235154920593,1.0193458992584954
279,2018,04,3.689037877775326,2.67448498267231,2.211608903916595,2018-04-01,4.0056408200664295,4.0,1.67,0.9431346786212901,1.024076979600955
280,2018,05,3.8884651284492504,2.94811320754717,2.5481090815538967,2018-05-01,4.0246535333867826,3.8,1.7,1.0223654386769503,1.0581724508931565
281,2018,06,3.7759531455639883,3.275592716871105,3.0880529726683434,2018-06-01,4.042349100904822,4.0,1.7,0.9998538545354818,1.0703941956128367
282,2018,07,3.9538776645510416,3.371586970980485,2.9503765465303933,2018-07-01,4.05365937464208,3.8,1.91,1.04648522716137,1.0728947659509387
283,2018,08,3.778801448139305,3.33517257674938,3.1332647285824557,2018-08-01,4.06768984079716,3.8,1.91,1.0060127507803853,1.0829221651952012
284,2018,09,3.904698207196499,3.2945850981902156,3.2812130177514796,2018-09-01,4.0769098614133545,3.7,1.91,1.0291158236487348,1.0745036433897477
285,2018,10,3.9359925064397787,3.0933183773919675,2.969127862104438,2018-10-01,4.079744588248769,3.8,2.18,1.0488228689970742,1.0871284477349725
286,2018,11,3.125749108655522,2.8990005950922373,2.892684238838086,2018-11-01,4.08277975031497,3.8,2.2,0.8401897073496147,1.097435975936516
287,2018,12,2.721367101471785,2.8610137202845283,2.6484925331079174,2018-12-01,4.114620318405681,3.9,2.2,0.7266905969376989,1.098733020523806
